Rank,Full Journal Title,Abbreviated Title,ISSN,Total Cites,Journal Impact Factor
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,00079235,297,503.1
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,15424863,297,503.1
2,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,14741776,114.9,122.7
2,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,14741784,114.9,122.7
3,LANCET,LANCET,01406736,106.9,98.4
3,LANCET,LANCET,1474547X,106.9,98.4
4,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,00284793,94.3,96.2
4,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,15334406,94.3,96.2
5,BMJ-British Medical Journal,BMJ-BRIT MED J,0959535X,69.9,93.6
5,BMJ-British Medical Journal,BMJ-BRIT MED J,17561833,69.9,93.6
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,14710072,115.5,81.3
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,14710080,115.5,81.3
7,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,17594774,81.5,81.1
7,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,17594782,81.5,81.1
8,Nature Reviews Materials,NAT REV MATER,20588437,85.7,79.8
9,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056676X,92.6,76.9
10,NATURE REVIEWS CANCER,NAT REV CANCER,1474175X,77.2,72.5
10,NATURE REVIEWS CANCER,NAT REV CANCER,14741768,77.2,72.5
11,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,17401526,81.3,69.2
11,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,17401534,81.3,69.2
12,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,14741733,78.1,67.7
12,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,14741741,78.1,67.7
13,Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,19358237,70.8,65.3
13,Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,19358245,70.8,65.3
14,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,00987484,66.8,63.1
14,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,15383598,66.8,63.1
15,World Psychiatry,WORLD PSYCHIATRY,17238617,55.5,60.5
15,World Psychiatry,WORLD PSYCHIATRY,20515545,55.5,60.5
16,NATURE MEDICINE,NAT MED,10788956,59.2,58.7
16,NATURE MEDICINE,NAT MED,1546170X,59.2,58.7
17,ANNALS OF ONCOLOGY,ANN ONCOL,09237534,38.2,56.7
17,ANNALS OF ONCOLOGY,ANN ONCOL,15698041,38.2,56.7
18,CHEMICAL REVIEWS,CHEM REV,00092665,63.5,51.4
18,CHEMICAL REVIEWS,CHEM REV,15206890,63.5,51.4
19,NATURE,NATURE,00280836,54.4,50.5
19,NATURE,NATURE,14764687,54.4,50.5
20,Nature Reviews Methods Primers,NAT REV METHOD PRIME,26628449,50.1,50.1
21,Nature Energy,NAT ENERGY,20587546,62.3,49.7
22,Nature Reviews Earth & Environment,NAT REV EARTH ENV,2662138X,54.5,49.7
23,CANCER CELL,CANCER CELL,15356108,42.1,48.8
23,CANCER CELL,CANCER CELL,18783686,42.1,48.8
24,LANCET NEUROLOGY,LANCET NEUROL,14744422,51.6,46.5
24,LANCET NEUROLOGY,LANCET NEUROL,14744465,51.6,46.5
25,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,17595045,65.1,45.9
25,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,17595053,65.1,45.9
26,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,00346861,52.1,45.9
26,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,15390756,52.1,45.9
27,CELL,CELL,00928674,49,45.5
27,CELL,CELL,10974172,49,45.5
28,Nature Reviews Physics,NAT REV PHYS,25225820,44.6,44.8
29,SCIENCE,SCIENCE,00368075,50.3,44.7
29,SCIENCE,SCIENCE,10959203,50.3,44.7
30,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,22138587,38.2,44
30,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,22138595,38.2,44
31,eScience,ESCIENCE,26671417,42.9,42.9
32,Nature Catalysis,NAT CATAL,25201158,47,42.8
33,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732183X,37.4,42.1
33,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,15277755,37.4,42.1
34,Nature Reviews Cardiology,NAT REV CARDIOL,17595002,46.5,41.7
34,Nature Reviews Cardiology,NAT REV CARDIOL,17595010,46.5,41.7
35,LANCET ONCOLOGY,LANCET ONCOL,14702045,42.2,41.6
35,LANCET ONCOLOGY,LANCET ONCOL,14745488,42.2,41.6
36,Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,20959907,40.5,40.8
36,Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,20593635,40.5,40.8
37,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,03060012,48.1,40.4
37,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,14604744,48.1,40.4
38,NATURE REVIEWS GENETICS,NAT REV GENET,14710056,52.3,39.1
38,NATURE REVIEWS GENETICS,NAT REV GENET,14710064,52.3,39.1
39,Lancet Respiratory Medicine,LANCET RESP MED,22132600,41.3,38.7
40,Joule,JOULE,25424351,44.8,38.6
41,Nature Nanotechnology,NAT NANOTECHNOL,17483387,39.6,38.1
41,Nature Nanotechnology,NAT NANOTECHNOL,17483395,39.6,38.1
42,Nature Reviews Chemistry,NAT REV CHEM,23973358,39.6,38.1
